#Filename 	 Type 	 True z 	 True zerr 	 z 	 t0 	 x0 	 x1 	 c 	 z_err 	 t0_err 	 x0_err 	 x1_err 	 c_err 
DES_SN001186.DAT 	 1 	 0.3071 	 0.0374 	 4.4375e-01 	 5.6337e+04 	 1.3596e-05 	 -4.6348e-01 	 5.9861e-02 	 1.2794e-01 	 9.3678e-01 	 6.6674e-07 	 5.0487e-01 	 1.7776e-01 	 
DES_SN001292.DAT 	 22 	 0.3161 	 0.0343 	 5.2841e-01 	 5.6181e+04 	 4.1296e-06 	 3.3579e+00 	 -1.0860e-01 	 5.9836e-02 	 1.4583e+00 	 1.7443e-07 	 4.6926e-01 	 6.1171e-02 	 
DES_SN002542.DAT 	 1 	 0.5494 	 0.0308 	 5.5419e-01 	 5.6192e+04 	 8.4498e-06 	 5.1658e-01 	 -3.0066e-02 	 8.8345e-03 	 1.8679e-01 	 1.2366e-07 	 1.3745e-01 	 1.6841e-02 	 
DES_SN002598.DAT 	 1 	 0.3576 	 0.0433 	 5.6150e-01 	 5.6303e+04 	 1.8888e-05 	 7.7078e-01 	 -1.8267e-01 	 1.6808e-02 	 4.3257e-01 	 8.9116e-07 	 5.7100e-01 	 2.2353e-02 	 
DES_SN003644.DAT 	 22 	 0.3431 	 0.0501 	 4.1788e-01 	 5.6214e+04 	 1.7681e-05 	 1.3599e+00 	 8.6456e-02 	 2.7835e-01 	 8.6054e+00 	 3.2851e-06 	 1.2639e+00 	 3.7965e-01 	 
DES_SN006276.DAT 	 1 	 0.4688 	 0.0407 	 5.0590e-01 	 5.6360e+04 	 1.5145e-05 	 -6.3472e-01 	 -9.3962e-02 	 1.8963e-02 	 5.8550e-01 	 4.2744e-07 	 4.1808e-01 	 1.9395e-02 	 
DES_SN007355.DAT 	 1 	 0.3520 	 0.0564 	 5.0896e-01 	 5.6209e+04 	 9.5285e-06 	 8.3876e-03 	 4.4019e-02 	 1.3879e-02 	 2.2544e-01 	 1.2795e-07 	 1.2812e-01 	 2.1719e-02 	 
DES_SN011001.DAT 	 1 	 0.3437 	 0.0542 	 4.7638e-01 	 5.6337e+04 	 3.0635e-05 	 -2.3639e-01 	 -2.2905e-01 	 5.8980e-02 	 1.0929e+00 	 3.0092e-06 	 8.2846e-01 	 3.2672e-02 	 
DES_SN011670.DAT 	 1 	 0.9033 	 0.0167 	 4.0882e-01 	 5.6281e+04 	 2.7129e-06 	 1.3298e+00 	 7.0158e-01 	 1.4474e-02 	 4.2682e-01 	 1.6231e-07 	 4.4070e-01 	 4.3599e-02 	 
DES_SN012491.DAT 	 1 	 0.7180 	 0.0117 	 6.2349e-01 	 5.6243e+04 	 7.0383e-06 	 8.0959e-01 	 -1.4050e-02 	 2.4390e-02 	 5.4574e-01 	 1.6960e-07 	 4.9440e-01 	 2.3099e-02 	 
DES_SN012720.DAT 	 22 	 0.4870 	 0.0361 	 3.5272e-01 	 5.6303e+04 	 6.9792e-06 	 2.1469e+00 	 7.6356e-02 	 2.4383e-02 	 4.3950e-01 	 2.5936e-07 	 3.4111e-01 	 7.4582e-02 	 
DES_SN013009.DAT 	 33 	 0.2770 	 0.0458 	 3.9212e-01 	 5.6338e+04 	 8.1621e-06 	 1.2940e+00 	 3.6314e-01 	 7.5920e-02 	 4.0590e-01 	 6.0260e-07 	 1.0526e+00 	 1.0229e-01 	 
DES_SN013253.DAT 	 1 	 0.7167 	 0.0166 	 6.9031e-01 	 5.6266e+04 	 4.8407e-06 	 3.5074e-01 	 2.9420e-02 	 7.6224e-02 	 1.0709e+00 	 2.8425e-07 	 6.1898e-01 	 9.4470e-02 	 
DES_SN015154.DAT 	 1 	 0.6575 	 0.0286 	 6.3973e-01 	 5.6229e+04 	 6.5380e-06 	 5.9335e-01 	 3.5340e-02 	 7.0280e-02 	 1.0154e+00 	 1.4484e-07 	 4.0732e-01 	 9.8963e-02 	 
DES_SN016029.DAT 	 22 	 0.2007 	 0.0261 	 5.6488e-01 	 5.6221e+04 	 6.0507e-06 	 3.5373e+00 	 -6.3908e-02 	 1.0692e-01 	 1.3635e+00 	 5.7200e-07 	 1.7338e+00 	 1.2734e-01 	 
DES_SN016272.DAT 	 1 	 0.5698 	 0.0207 	 5.8047e-01 	 5.6224e+04 	 1.0902e-05 	 7.6967e-01 	 -1.0156e-01 	 2.4511e-02 	 3.3195e-01 	 2.3440e-07 	 2.5747e-01 	 2.7611e-02 	 
DES_SN017218.DAT 	 1 	 0.3818 	 0.0527 	 4.1581e-01 	 5.6240e+04 	 1.6739e-05 	 1.1163e-01 	 2.6552e-02 	 1.6786e-02 	 5.2587e-01 	 7.8055e-07 	 6.5568e-01 	 3.7205e-02 	 
DES_SN017520.DAT 	 33 	 0.3267 	 0.0248 	 4.0057e-01 	 5.6343e+04 	 5.6993e-06 	 1.6519e+00 	 2.4907e-01 	 6.8033e-02 	 9.9090e-01 	 3.6432e-07 	 1.0896e+00 	 4.5820e-02 	 
DES_SN017894.DAT 	 22 	 0.3952 	 0.0310 	 4.9288e-01 	 5.6261e+04 	 2.9593e-05 	 1.9420e+00 	 3.5290e-02 	 6.3927e-02 	 1.2561e+00 	 1.6246e-06 	 1.0709e+00 	 1.5591e-01 	 
DES_SN020046.DAT 	 1 	 0.4544 	 0.0299 	 4.4059e-01 	 5.6285e+04 	 1.6252e-05 	 1.6600e+00 	 3.8794e-02 	 9.3713e-03 	 1.7551e-01 	 3.3053e-07 	 2.7870e-01 	 3.0716e-02 	 
DES_SN021321.DAT 	 1 	 0.8401 	 0.0306 	 4.3530e-01 	 5.6243e+04 	 3.4266e-06 	 -7.9153e-01 	 4.0837e-01 	 7.6439e-02 	 6.5612e-01 	 3.2287e-07 	 5.6132e-01 	 9.5342e-02 	 
DES_SN021964.DAT 	 1 	 0.7163 	 0.0186 	 6.9604e-01 	 5.6328e+04 	 6.2443e-06 	 1.0741e+00 	 2.6941e-03 	 5.1790e-02 	 6.7244e-01 	 1.6013e-07 	 3.3385e-01 	 4.5202e-02 	 
DES_SN023338.DAT 	 1 	 0.4633 	 0.0385 	 5.4143e-01 	 5.6174e+04 	 8.2176e-06 	 -1.1446e+00 	 -6.1391e-02 	 8.0149e-02 	 2.3903e+00 	 7.1507e-07 	 7.2506e-01 	 1.2281e-01 	 
DES_SN023722.DAT 	 33 	 0.2783 	 0.0333 	 4.0914e-01 	 5.6260e+04 	 7.0694e-06 	 -1.0515e+00 	 1.2353e-01 	 2.3018e-02 	 1.7861e-01 	 3.0178e-07 	 3.7355e-01 	 3.9296e-02 	 
